Wall time,Step,Value
1731811030.99255,0,1.4300743341445923
1731811031.0081296,1,1.423808217048645
1731811031.0081296,2,1.4175724983215332
1731811031.0146928,3,1.411367654800415
1731811031.0187721,4,1.4051939249038696
1731811031.021052,5,1.3990519046783447
1731811031.0215662,6,1.392942190170288
1731811031.0240846,7,1.3868650197982788
1731811031.0240846,8,1.380820870399475
1731811031.0240846,9,1.3748102188110352
1731811031.0240846,10,1.368833303451538
1731811031.0240846,11,1.362890601158142
1731811031.0240846,12,1.3569824695587158
1731811031.0240846,13,1.3511089086532593
1731811031.0240846,14,1.3452705144882202
1731811031.0240846,15,1.3394674062728882
1731811031.0405486,16,1.3336998224258423
1731811031.0501134,17,1.327967882156372
1731811031.0638413,18,1.3222719430923462
1731811031.0686927,19,1.3166120052337646
1731811031.1025898,20,1.310988426208496
1731811031.108968,21,1.3054008483886719
1731811031.1127307,22,1.2998498678207397
1731811031.1162868,23,1.294335126876831
1731811031.121232,24,1.288857102394104
1731811031.1370986,25,1.2834155559539795
1731811031.1413047,26,1.278010368347168
1731811031.1486003,27,1.2726415395736694
1731811031.1501033,28,1.2673091888427734
1731811031.1501033,29,1.2620131969451904
1731811031.1501033,30,1.2567534446716309
1731811031.1501033,31,1.2515298128128052
1731811031.162408,32,1.2463421821594238
1731811031.1760888,33,1.2411904335021973
1731811031.1880698,34,1.2360742092132568
1731811031.191593,35,1.2309937477111816
1731811031.1961963,36,1.225948452949524
1731811031.1989844,37,1.2209382057189941
1731811031.2006838,38,1.2159628868103027
1731811031.2025568,39,1.2110223770141602
1731811031.2025568,40,1.2061161994934082
1731811031.226225,41,1.2012442350387573
1731811031.2315295,42,1.196406364440918
1731811031.235243,43,1.1916019916534424
1731811031.235243,44,1.1868311166763306
1731811031.235243,45,1.1820935010910034
1731811031.235243,46,1.1773890256881714
1731811031.2469637,47,1.1727169752120972
1731811031.2539673,48,1.1680774688720703
1731811031.2703881,49,1.1634700298309326
1731811031.27672,50,1.1588945388793945
1731811031.2825525,51,1.1543506383895874
1731811031.2866914,52,1.1498382091522217
1731811031.2866914,53,1.1453566551208496
1731811031.2866914,54,1.1409062147140503
1731811031.2866914,55,1.1364861726760864
1731811031.2966113,56,1.132096529006958
1731811031.3056788,57,1.127737045288086
1731811031.319132,58,1.1234074831008911
1731811031.32663,59,1.1191074848175049
1731811031.3301766,60,1.1148368120193481
1731811031.3350925,61,1.110595464706421
1731811031.3377256,62,1.106382966041565
1731811031.3397782,63,1.1021990776062012
1731811031.3397782,64,1.0980437994003296
1731811031.3397782,65,1.093916893005371
1731811031.3537326,66,1.089818000793457
1731811031.3679268,67,1.0857468843460083
1731811031.3720355,68,1.081703543663025
1731811031.3766074,69,1.0776877403259277
1731811031.3808303,70,1.0736991167068481
1731811031.3860877,71,1.0697377920150757
1731811031.4033744,72,1.0658032894134521
1731811031.4098003,73,1.0618956089019775
1731811031.414162,74,1.0580143928527832
1731811031.4179206,75,1.0541596412658691
1731811031.4179206,76,1.0503311157226562
1731811031.4179206,77,1.0465285778045654
1731811031.4179206,78,1.0427521467208862
1731811031.4179206,79,1.0390013456344604
1731811031.4306314,80,1.0352760553359985
1731811031.4321566,81,1.03157639503479
1731811031.4354866,82,1.0279017686843872
1731811031.4418783,83,1.0242524147033691
1731811031.4561386,84,1.0206279754638672
1731811031.4631517,85,1.0170284509658813
1731811031.4677765,86,1.013453483581543
1731811031.4683318,87,1.0099031925201416
1731811031.4728417,88,1.006377100944519
1731811031.4728417,89,1.0028754472732544
1731811031.4777756,90,0.9993977546691895
1731811031.4803035,91,0.9959441423416138
1731811031.4842415,92,0.9925143718719482
1731811031.5046973,93,0.9891082644462585
1731811031.5094109,94,0.9857257008552551
1731811031.5141811,95,0.9823666214942932
1731811031.5202646,96,0.9790309071540833
1731811031.5329328,97,0.9757183194160461
1731811031.5414708,98,0.9724287390708923
1731811031.5468364,99,0.969162106513977
